Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
m;178;23;88;Ausdauersport;Normalgewicht
w;163;51;70;keinSport;Normalgewicht
w;173;57;66;keinSport;Untergewicht
w;162;46;98;keinSport;Uebergewicht
w;160;80;57;Kraftsport;Untergewicht
m;187;53;79;keinSport;Untergewicht
w;164;45;72;Kraftsport;Normalgewicht
w;167;51;82;keinSport;Uebergewicht
m;167;29;90;keinSport;Uebergewicht
w;174;60;92;Kraftsport;Normalgewicht
w;160;72;92;keinSport;Uebergewicht
m;187;64;100;Ausdauersport;Normalgewicht
m;178;18;123;keinSport;Uebergewicht
m;173;46;71;keinSport;Normalgewicht
m;162;31;67;keinSport;Normalgewicht
w;166;54;154;keinSport;Uebergewicht
w;192;42;94;Kraftsport;Normalgewicht
m;184;24;137;Kraftsport;Uebergewicht
m;179;92;73;keinSport;Untergewicht
w;162;54;74;Ausdauersport;Normalgewicht
m;174;18;73;keinSport;Normalgewicht
m;170;29;85;Ausdauersport;Normalgewicht
m;174;99;70;keinSport;Untergewicht
w;175;23;58;keinSport;Untergewicht
w;163;48;64;Kraftsport;Normalgewicht
m;192;57;129;keinSport;Uebergewicht
w;165;57;74;Ausdauersport;Normalgewicht
m;186;54;74;keinSport;Untergewicht
w;172;49;96;Kraftsport;Normalgewicht
w;160;65;67;Ausdauersport;Normalgewicht
w;162;51;74;Ausdauersport;Normalgewicht
w;165;23;93;keinSport;Uebergewicht
w;166;60;101;Kraftsport;Uebergewicht
w;165;41;50;keinSport;Untergewicht
w;163;65;102;keinSport;Uebergewicht
w;168;52;69;Ausdauersport;Normalgewicht
w;169;42;118;keinSport;Uebergewicht
w;169;29;144;Kraftsport;Uebergewicht
m;175;57;114;Kraftsport;Uebergewicht
w;163;43;92;Kraftsport;Uebergewicht
w;164;24;70;Kraftsport;Normalgewicht
m;180;55;88;Ausdauersport;Normalgewicht
m;165;64;130;keinSport;Uebergewicht
w;173;36;73;keinSport;Normalgewicht
w;164;23;74;keinSport;Uebergewicht
m;176;80;143;keinSport;Uebergewicht
m;182;48;154;Kraftsport;Uebergewicht
m;176;63;70;keinSport;Untergewicht
m;185;44;149;Kraftsport;Uebergewicht
w;161;24;81;keinSport;Uebergewicht
m;175;28;85;keinSport;Uebergewicht
m;184;49;120;Ausdauersport;Uebergewicht
w;172;40;80;Ausdauersport;Normalgewicht
m;194;46;99;Ausdauersport;Normalgewicht
m;165;57;90;Kraftsport;Uebergewicht
m;185;21;61;keinSport;Untergewicht
m;174;39;87;Ausdauersport;Uebergewicht
w;173;37;76;Ausdauersport;Normalgewicht
w;162;84;73;keinSport;Normalgewicht
w;157;35;74;keinSport;Uebergewicht
m;187;29;76;Ausdauersport;Normalgewicht
m;174;52;80;Kraftsport;Normalgewicht
m;179;45;64;keinSport;Untergewicht
w;161;42;72;keinSport;Uebergewicht
m;174;89;93;keinSport;Uebergewicht
m;173;35;51;keinSport;Untergewicht
w;157;64;95;keinSport;Uebergewicht
m;187;39;99;Kraftsport;Normalgewicht
m;158;55;93;keinSport;Uebergewicht
m;184;50;137;Kraftsport;Uebergewicht
w;180;50;160;keinSport;Uebergewicht
m;172;29;78;keinSport;Uebergewicht
w;166;27;66;Ausdauersport;Normalgewicht
m;177;40;61;keinSport;Untergewicht
m;167;76;95;keinSport;Uebergewicht
w;168;21;81;keinSport;Uebergewicht
w;158;25;96;keinSport;Uebergewicht
w;164;57;102;keinSport;Uebergewicht
m;186;52;83;Kraftsport;Normalgewicht
m;178;34;102;Kraftsport;Normalgewicht
m;166;55;89;Ausdauersport;Uebergewicht
m;164;19;137;keinSport;Uebergewicht
w;164;33;91;Ausdauersport;Uebergewicht
w;163;63;82;keinSport;Uebergewicht
m;165;61;90;keinSport;Uebergewicht
w;159;43;96;keinSport;Uebergewicht
w;183;47;85;keinSport;Normalgewicht
m;174;54;102;Ausdauersport;Uebergewicht
m;182;51;79;keinSport;Normalgewicht
m;193;53;69;keinSport;Untergewicht
m;176;21;77;keinSport;Normalgewicht
m;169;74;101;Kraftsport;Uebergewicht
w;161;24;131;keinSport;Uebergewicht
w;162;58;84;keinSport;Uebergewicht
m;161;52;111;keinSport;Uebergewicht
m;190;56;104;Ausdauersport;Normalgewicht
m;169;65;158;Ausdauersport;Uebergewicht
m;181;56;175;keinSport;Uebergewicht
w;176;48;64;keinSport;Untergewicht
w;169;63;137;Ausdauersport;Uebergewicht
m;165;24;72;keinSport;Uebergewicht
m;165;79;156;keinSport;Uebergewicht
w;164;31;100;Kraftsport;Uebergewicht
w;166;77;81;Ausdauersport;Normalgewicht
w;166;64;70;keinSport;Normalgewicht
w;161;46;88;Kraftsport;Uebergewicht
w;167;40;92;keinSport;Uebergewicht
m;183;34;104;Ausdauersport;Uebergewicht
w;166;66;108;keinSport;Uebergewicht
w;166;28;73;keinSport;Uebergewicht
m;162;50;69;keinSport;Normalgewicht
w;162;31;99;keinSport;Uebergewicht
m;173;19;56;Ausdauersport;Normalgewicht
w;166;29;97;keinSport;Uebergewicht
m;191;60;106;keinSport;Uebergewicht
m;181;24;76;Ausdauersport;Normalgewicht
m;166;52;66;Ausdauersport;Normalgewicht
w;155;26;75;keinSport;Uebergewicht
w;163;22;72;keinSport;Uebergewicht
m;173;53;68;keinSport;Untergewicht
w;160;20;91;Ausdauersport;Uebergewicht
w;173;36;78;Kraftsport;Normalgewicht
m;193;29;117;keinSport;Uebergewicht
w;159;36;77;Kraftsport;Normalgewicht
w;160;52;74;Kraftsport;Uebergewicht
w;168;19;93;keinSport;Uebergewicht
w;165;35;66;Kraftsport;Normalgewicht
m;180;52;76;Ausdauersport;Normalgewicht
m;174;63;75;keinSport;Normalgewicht
w;165;74;93;Kraftsport;Uebergewicht
w;167;58;157;keinSport;Uebergewicht
w;166;51;126;Kraftsport;Uebergewicht
m;186;56;80;keinSport;Untergewicht
m;164;49;148;keinSport;Uebergewicht
m;187;23;86;keinSport;Normalgewicht
w;158;46;97;keinSport;Uebergewicht
w;166;37;80;keinSport;Uebergewicht
m;170;43;91;keinSport;Uebergewicht
w;171;63;81;keinSport;Normalgewicht
w;167;61;98;Kraftsport;Uebergewicht
w;160;45;73;Ausdauersport;Normalgewicht
m;173;69;93;keinSport;Uebergewicht
m;183;59;49;keinSport;Untergewicht
m;157;30;99;Kraftsport;Uebergewicht
w;170;50;150;keinSport;Uebergewicht
m;174;25;105;keinSport;Uebergewicht
w;164;44;106;keinSport;Uebergewicht
w;164;45;91;keinSport;Uebergewicht
m;180;46;82;keinSport;Normalgewicht
w;164;33;56;Ausdauersport;Normalgewicht
m;177;19;91;Ausdauersport;Normalgewicht
m;183;58;60;Ausdauersport;Untergewicht
m;173;79;105;keinSport;Uebergewicht
m;179;51;107;keinSport;Uebergewicht
m;170;34;51;keinSport;Untergewicht
w;160;64;84;keinSport;Uebergewicht
w;182;45;98;Ausdauersport;Normalgewicht
m;181;53;96;keinSport;Uebergewicht
m;163;61;78;Ausdauersport;Normalgewicht
m;180;20;90;Kraftsport;Normalgewicht
w;156;39;106;Kraftsport;Uebergewicht
w;161;47;60;Ausdauersport;Normalgewicht
w;173;60;88;keinSport;Uebergewicht
m;173;44;158;Kraftsport;Uebergewicht
w;168;73;100;Kraftsport;Uebergewicht
m;179;41;112;keinSport;Uebergewicht
w;167;45;72;keinSport;Normalgewicht
m;177;24;151;Ausdauersport;Uebergewicht
w;167;81;153;Kraftsport;Uebergewicht
w;166;44;96;Kraftsport;Uebergewicht
w;166;23;90;keinSport;Uebergewicht
w;163;57;71;keinSport;Normalgewicht
m;179;56;107;keinSport;Uebergewicht
w;170;27;77;Ausdauersport;Normalgewicht
m;174;48;126;keinSport;Uebergewicht
w;160;75;81;Ausdauersport;Uebergewicht
m;173;55;100;keinSport;Uebergewicht
m;178;57;106;keinSport;Uebergewicht
m;172;48;84;keinSport;Uebergewicht
w;187;21;112;Ausdauersport;Uebergewicht
m;182;54;106;Ausdauersport;Uebergewicht
w;169;70;83;Ausdauersport;Normalgewicht
w;170;77;98;keinSport;Uebergewicht
w;160;19;89;Ausdauersport;Uebergewicht
w;176;38;61;keinSport;Untergewicht
w;163;55;85;keinSport;Uebergewicht
m;179;76;112;keinSport;Uebergewicht
w;170;73;84;keinSport;Normalgewicht
m;168;52;123;keinSport;Uebergewicht
w;157;43;63;Ausdauersport;Normalgewicht
m;183;34;117;keinSport;Uebergewicht
w;163;36;121;keinSport;Uebergewicht
w;167;18;66;Kraftsport;Normalgewicht
m;183;52;107;keinSport;Uebergewicht
w;158;67;70;Kraftsport;Normalgewicht
m;185;53;81;Ausdauersport;Normalgewicht
w;174;66;75;Ausdauersport;Untergewicht
m;168;51;79;Kraftsport;Uebergewicht
w;170;57;101;keinSport;Uebergewicht
m;158;76;60;Kraftsport;Untergewicht
m;174;56;61;Kraftsport;Untergewicht
m;162;56;82;Ausdauersport;Uebergewicht
m;187;68;123;keinSport;Uebergewicht
w;175;23;100;keinSport;Uebergewicht
w;177;30;83;keinSport;Uebergewicht
w;160;33;59;keinSport;Normalgewicht
m;169;64;97;keinSport;Uebergewicht
m;178;26;70;keinSport;Normalgewicht
m;169;61;79;keinSport;Normalgewicht
w;163;36;62;keinSport;Normalgewicht
m;172;22;78;keinSport;Uebergewicht
m;168;32;61;keinSport;Normalgewicht
w;155;49;102;keinSport;Uebergewicht
w;172;25;108;Kraftsport;Uebergewicht
m;180;50;155;keinSport;Uebergewicht
w;155;30;72;Ausdauersport;Normalgewicht
w;166;56;74;Ausdauersport;Normalgewicht
m;160;44;59;keinSport;Normalgewicht
m;170;57;88;keinSport;Uebergewicht
m;176;58;92;Kraftsport;Normalgewicht
m;174;57;74;Kraftsport;Normalgewicht
w;170;54;100;Kraftsport;Uebergewicht
m;179;56;102;keinSport;Uebergewicht
m;175;32;125;keinSport;Uebergewicht
m;184;46;95;Ausdauersport;Normalgewicht
m;168;42;59;Ausdauersport;Normalgewicht
m;171;44;104;Kraftsport;Uebergewicht
w;170;57;98;Kraftsport;Uebergewicht
w;160;45;50;keinSport;Untergewicht
w;168;47;120;keinSport;Uebergewicht
w;166;73;73;keinSport;Normalgewicht
m;175;58;111;Ausdauersport;Uebergewicht
m;159;29;79;keinSport;Uebergewicht
m;187;43;119;Kraftsport;Uebergewicht
w;167;60;78;keinSport;Normalgewicht
w;178;48;66;Ausdauersport;Untergewicht
m;175;29;131;Ausdauersport;Uebergewicht
m;173;28;74;keinSport;Normalgewicht
m;184;24;60;keinSport;Untergewicht
m;169;54;109;Kraftsport;Uebergewicht
m;174;41;109;Kraftsport;Uebergewicht
w;173;55;89;keinSport;Uebergewicht
m;179;33;72;Ausdauersport;Normalgewicht
m;188;30;98;keinSport;Uebergewicht
w;167;24;89;Kraftsport;Uebergewicht
w;161;20;79;Ausdauersport;Uebergewicht
m;180;33;110;keinSport;Uebergewicht
w;170;48;108;keinSport;Uebergewicht
w;156;58;97;keinSport;Uebergewicht
w;169;38;59;Kraftsport;Untergewicht
w;164;21;64;keinSport;Normalgewicht
m;179;45;85;Ausdauersport;Normalgewicht
m;182;22;97;keinSport;Uebergewicht
m;184;47;94;Ausdauersport;Normalgewicht
m;172;53;58;keinSport;Untergewicht
w;157;75;73;keinSport;Normalgewicht
m;177;63;70;keinSport;Untergewicht
w;169;58;84;Ausdauersport;Normalgewicht
w;157;53;102;keinSport;Uebergewicht
